"bush_02022005" "bush_02032001" "bush_03022003" "bush_20012004" "bush_23012007" "bush_24092001" "bush_28012003" "bush_28012008" "bush_31012008" "obama_08092011" "obama_09092009" "obama_12012016" "obama_12022013" "obama_20012015" "obama_24012012" "obama_24022009" "obama_25012011" "obama_27012010" "obama_28012014"
"you" 0.38933229511388 0.546075085324232 0.480413895048041 0.874026220786624 0.392436674991081 0.682039623254303 0.494505494505495 0.446965789926079 0.260950605778192 0.610445399050418 0.743871513102282 0.484701605574068 0.225374519421981 0.390298299414553 0.490322580645161 0.426699177080158 0.392516027737799 0.274177467597208 0.329337373205111
"by" 0.58399844267082 0.500568828213879 0.443458980044346 0.627018810564317 0.552978951123796 0.519649236765183 0.476190476190476 0.601684717208183 0.671015843429636 0.520009043635541 0.507185122569738 0.302938503483793 0.464006363515843 0.209088374686367 0.258064516129032 0.304785126485828 0.392516027737799 0.423728813559322 0.408378342774338
"be" 0.525598598403738 0.546075085324232 0.443458980044346 0.532015960478814 0.231894398858366 0.519649236765183 0.43956043956044 0.326628846484442 0.428704566635601 0.678272665611576 0.879120879120879 0.378673129354741 0.304918467453268 0.111513799832729 0.361290322580645 0.472416946053033 0.549522438832919 0.361415752741775 0.302990383348702
"as" 0.350399065602492 0.341296928327645 0.369549150036955 0.437013110393312 0.267570460221192 0.389736927573888 0.366300366300366 0.240673886883273 0.242311276794035 0.361745421659507 0.338123415046492 0.514995455922448 0.371205090812674 0.627265124059102 0.503225806451613 0.380981408107284 0.444851498102839 0.398803589232303 0.421551837702543
"but" 0.175199532801246 0.409556313993174 0.0923872875092387 0.114003420102603 0.214056368176953 0.357258850276064 0.0915750915750916 0.189100911122572 0.260950605778192 0.361745421659507 0.456466610312764 0.605877006967586 0.503778337531486 0.418176749372735 0.412903225806452 0.609570252971655 0.614941776789219 0.523429710867398 0.566460281912792
"america" 0.29199922133541 0.341296928327645 0.424981522542498 0.589017670530116 0.428112736353907 0.519649236765183 0.421245421245421 0.515729757607014 0.70829450139795 0.406963599366946 0.0676246830092984 0.42411390487731 0.318175792125149 0.487872874268191 0.387096774193548 0.274306613837245 0.23550961664268 0.22432701894317 0.434725332630747
"from" 0.369865680358186 0.318543799772469 0.480413895048041 0.418012540376211 0.428112736353907 0.357258850276064 0.512820512820513 0.326628846484442 0.447343895619758 0.226090888537192 0.338123415046492 0.227203877612845 0.424234389500199 0.376359074435461 0.606451612903226 0.365742151782993 0.392516027737799 0.274177467597208 0.342510868133316
"they" 0.330932450846798 0.477815699658703 0.203252032520325 0.418012540376211 0.445950767035319 0.779473855147775 0.201465201465201 0.326628846484442 0.372786579683131 0.56522722134298 0.388841927303466 0.393820054528931 0.397719740156436 0.292723724560914 0.412903225806452 0.289545870161536 0.340180557372759 0.523429710867398 0.276643393492293
"can" 0.214132762312634 0.364050056882821 0.258684405025868 0.608018240547216 0.338922582946843 0.227346541084768 0.256410256410256 0.343819838404676 0.298229263746505 0.610445399050418 0.456466610312764 0.287791578309603 0.357947766140793 0.334541399498188 0.335483870967742 0.457177689728741 0.484103100876619 0.286640079760718 0.47424581741536
"people" 0.350399065602492 0.318543799772469 0.57280118255728 0.36101083032491 0.303246521584017 0.389736927573888 0.567765567765568 0.49853876568678 0.391425908667288 0.406963599366946 0.202874049027895 0.40896697970312 0.238631844093862 0.306662949540006 0.270967741935484 0.320024382810119 0.405599895329059 0.398803589232303 0.316163878276907
